latitude,longitude,event_id,animal_id
56.259615111831074,-122.47832687876058,2259197431,GR_C01
56.257619123985606,-122.47799891195605,2259197432,GR_C01
56.25682226861724,-122.47441023180873,2259197433,GR_C01
56.25626098823021,-122.47553166200312,2259197434,GR_C01
56.245217216765695,-122.47516626089389,2259197435,GR_C01
56.260445734469776,-122.47080913123561,2259197436,GR_C01
56.260830673651625,-122.47048095772115,2259197437,GR_C01
56.270857723581294,-122.48976762750185,2259197438,GR_C01
56.260811807493084,-122.47027135850023,2259197439,GR_C01
56.2575944570146,-122.48067876884764,2259197440,GR_C01
56.260774953989625,-122.47216060333898,2259197441,GR_C01
56.25678610256634,-122.47647682116512,2259197442,GR_C01
56.25530186671807,-122.47606128070046,2259197443,GR_C01
56.25567315774127,-122.47888086387437,2259197444,GR_C01
